date,prediction,prediction_label,defect_probability,true_label,true_label_name,correct
2020 10 30 13:29:44,1,불량,0.9998772,1.0,불량,True
2020 10 30 13:29:24,1,불량,0.9998772,1.0,불량,True
2020 10 30 13:31:24,1,불량,0.999874,1.0,불량,True
2020 10 30 13:30:14,1,불량,0.99987316,1.0,불량,True
2020 10 30 13:30:19,1,불량,0.99986017,1.0,불량,True
2020 10 30 13:33:14,1,불량,0.9998597,1.0,불량,True
2020 10 30 13:28:14,1,불량,0.9998474,1.0,불량,True
2020 10 30 13:33:29,1,불량,0.9998443,1.0,불량,True
2020 10 30 13:33:24,1,불량,0.9998443,1.0,불량,True
2020 10 30 13:33:44,1,불량,0.9998443,1.0,불량,True
2020 10 30 13:34:09,1,불량,0.9998443,1.0,불량,True
2020 10 30 13:33:39,1,불량,0.9998443,1.0,불량,True
2020 10 30 13:34:29,1,불량,0.999843,1.0,불량,True
2020 10 30 13:34:24,1,불량,0.999843,1.0,불량,True
2020 10 30 13:34:19,1,불량,0.999843,1.0,불량,True
2020 10 30 13:33:54,1,불량,0.99984014,1.0,불량,True
2020 10 30 13:33:34,1,불량,0.9998247,1.0,불량,True
2020 10 30 13:33:49,1,불량,0.99981993,1.0,불량,True
2020 10 30 13:32:14,1,불량,0.99981624,1.0,불량,True
2020 10 30 13:34:14,1,불량,0.9998149,1.0,불량,True
2020 10 30 13:34:04,1,불량,0.9998149,1.0,불량,True
2020 10 30 13:29:49,1,불량,0.9998135,1.0,불량,True
2020 10 30 13:27:29,1,불량,0.99981266,1.0,불량,True
2020 10 30 13:27:34,1,불량,0.99980956,1.0,불량,True
2020 10 30 13:34:44,1,불량,0.9997706,1.0,불량,True
2020 10 30 13:34:39,1,불량,0.9997706,1.0,불량,True
2020 10 30 13:35:19,1,불량,0.9997706,1.0,불량,True
2020 10 30 13:34:34,1,불량,0.9997706,1.0,불량,True
2020 10 30 13:33:59,1,불량,0.9997609,1.0,불량,True
2020 10 30 13:30:04,1,불량,0.99973696,1.0,불량,True
2020 10 30 13:28:09,1,불량,0.9997353,1.0,불량,True
2020 10 30 13:27:54,1,불량,0.9997259,1.0,불량,True
2020 10 30 13:28:04,1,불량,0.9997259,1.0,불량,True
2020 10 30 13:29:54,1,불량,0.99971014,1.0,불량,True
2020 10 30 13:29:59,1,불량,0.99971014,1.0,불량,True
2020 10 30 13:31:19,1,불량,0.9997094,1.0,불량,True
2020 10 30 13:35:14,1,불량,0.99970895,1.0,불량,True
2020 10 30 13:34:54,1,불량,0.99970895,1.0,불량,True
2020 10 30 13:34:59,1,불량,0.99970895,1.0,불량,True
2020 10 30 13:35:04,1,불량,0.99970895,1.0,불량,True
2020 10 30 13:35:09,1,불량,0.99970895,1.0,불량,True
2020 10 30 13:34:49,1,불량,0.99970895,1.0,불량,True
2020 10 30 13:27:49,1,불량,0.9997002,1.0,불량,True
2020 10 30 13:27:59,1,불량,0.9997002,1.0,불량,True
2020 10 30 13:35:24,1,불량,0.9996333,1.0,불량,True
2020 10 30 13:26:49,1,불량,0.9995912,1.0,불량,True
2020 10 30 13:30:09,1,불량,0.999501,1.0,불량,True
2020 10 30 13:26:39,1,불량,0.9994217,1.0,불량,True
2020 10 30 13:30:44,1,불량,0.9993918,1.0,불량,True
2020 10 30 13:27:44,1,불량,0.99937505,1.0,불량,True
2020 10 30 13:27:39,1,불량,0.999321,1.0,불량,True
2020 10 30 13:33:19,1,불량,0.999311,1.0,불량,True
2020 10 30 13:26:24,1,불량,0.9993032,1.0,불량,True
2020 10 30 13:26:44,1,불량,0.99922264,1.0,불량,True
2020 10 30 13:27:24,1,불량,0.99918014,1.0,불량,True
2020 10 30 13:26:54,1,불량,0.99907327,1.0,불량,True
2020 10 30 13:27:09,1,불량,0.99895215,1.0,불량,True
2020 10 30 13:27:04,1,불량,0.99895215,1.0,불량,True
2020 10 30 13:26:34,1,불량,0.9986965,1.0,불량,True
2020 10 30 13:27:14,1,불량,0.99866164,1.0,불량,True
2020 10 30 13:27:19,1,불량,0.99848586,1.0,불량,True
2020 10 30 13:30:29,1,불량,0.99844885,1.0,불량,True
2020 10 30 13:30:39,1,불량,0.99844885,1.0,불량,True
2020 10 30 13:30:34,1,불량,0.99844307,1.0,불량,True
2020 10 30 13:31:14,1,불량,0.9981072,1.0,불량,True
2020 10 30 13:31:04,1,불량,0.99681634,1.0,불량,True
2020 10 30 13:30:59,1,불량,0.9961106,1.0,불량,True
2020 10 30 13:31:09,1,불량,0.9945476,1.0,불량,True
2020 10 30 13:26:59,1,불량,0.9940773,1.0,불량,True
2020 10 30 13:26:19,1,불량,0.9928307,1.0,불량,True
2020 10 30 13:26:04,1,불량,0.9871608,0.0,정상,False
2020 10 30 13:35:34,1,불량,0.98229605,1.0,불량,True
2020 10 30 13:35:29,1,불량,0.98229605,1.0,불량,True
2020 10 30 13:35:44,1,불량,0.98229605,0.0,정상,False
2020 10 30 13:35:39,1,불량,0.98229605,0.0,정상,False
2020 10 30 13:35:49,1,불량,0.98229605,0.0,정상,False
2020 10 30 13:30:54,1,불량,0.89957744,0.0,정상,False
